Episode,TotalReward,SuccessCount,Collisions
320,-15173.83008,0,6805
321,-6323.051758,100,7924
322,-8182.669922,76,7512
323,-6052.728516,96,7647
324,-6809.927734,98,7975
325,-3898.392822,100,6556
326,-16510.10938,0,8140
327,-6718.355957,100,7680
328,-6759.526855,100,8261
329,-15529.90332,0,7467
330,-14864.04004,0,7603
331,-5401.10498,100,7685
332,-6671.04541,100,7653
333,-6923.662109,100,7452
334,-7102.401367,100,7695
335,-4443.986328,100,7786
336,-15767.00781,0,7733
337,-6061.44043,98,7641
338,-15647.87109,0,7491
339,-16401.28516,0,7936
340,-4858.679199,99,7185
341,4222.032715,200,7915
342,-16433.98633,0,7850
343,-16522.81836,0,7917
344,-5122.825195,100,8049
345,-6304.396973,80,7361
346,-15410.78418,0,7590
347,-16698.3418,0,8107
348,-5500.29248,100,7531
349,-14717.25684,0,7613
350,-5214.180664,100,7349
351,-4802.524902,98,7202
352,-9329.749023,66,7660
353,-6069.284668,100,7640
354,-14840.7832,0,7339
355,-5716.085938,93,7576
356,-6511.142578,88,7595
357,-15378.40918,0,7776
358,-7034.120117,96,7828
359,-16451.28125,0,7831
360,-6460.748047,100,7841
361,-15876.1709,0,7846
362,-15596.96875,0,7693
363,-5876.322266,100,7575
364,-5592.474121,98,7269
365,-4911.966309,99,7951
366,-15348.06152,0,7257
367,-15507.30371,0,7645
368,-6394.103516,99,7377
369,-6087.447266,98,7598
370,-15736.84375,0,7916
371,-16466.69141,0,7818
372,-13688.94922,0,6904
373,-16887.1875,0,7604
374,-17183.60352,0,8082
375,-3681.90332,99,6907
376,14844.5166,300,7775
377,-5829.785156,100,7560
378,-14876.01953,0,8171
379,-14710.31445,0,7393
380,-14032.36133,0,7321
381,-16312.57129,0,7336
382,-15344.81543,0,7745
383,-5477.437012,95,7580
384,-15658.3252,0,7827
385,-7041.556641,100,7827
386,-4972.916504,100,8092
387,-5181.288574,96,7022
388,-16707.35352,0,8151
389,-15085.42188,0,7251
390,-5880.472168,100,7977
391,-14682.07617,17,7793
392,-15177.62695,0,7676
393,-15761.71875,0,7929
394,-6225.762207,95,8150
395,-6828.027832,92,7959
396,-6147.068359,95,7049
397,-5433.125977,100,7161
398,-5833.038086,100,7797
399,-5578.916504,100,7231
400,-6881.132813,90,7376
401,-7357.89502,93,8270
402,-16051.59277,0,7987
403,-15277.83691,0,7256
404,-15918.71191,0,7635
405,-16109.08008,0,7850
406,-14971.65039,0,7250
407,-5681.763184,100,7915
408,-14125.46875,0,7421
409,-16188.3418,0,7926
410,-4820.986328,100,7487
411,-6440.250488,100,8191
412,-5803.581543,96,7313
413,-17101.14063,0,8423
414,-13850.76074,0,7387
415,-6583.412598,99,7872
416,-15061.33301,0,7530
417,-7029.903809,98,8011
418,-8291.416016,81,7310
